total_edges,6924035
0,0
1,221232
2,224450
3,237629
4,239052
5,248431
6,251191
7,251770
8,252800
9,262867
10,271910
11,277184
12,278854
13,279345
14,280336
15,281383
16,285079
17,292020
18,292337
19,293618
20,294592
21,294839
22,295975
23,296149
24,297052
25,297347
26,299191
27,299575
28,300536
29,301001
30,301724
31,301998
32,302385
33,302867
34,304290
35,304500
36,304648
37,306617
38,306790
39,308065
40,308088
41,308115
42,309429
43,309812
44,309845
45,311350
46,311577
47,312031
48,312272
49,312384
50,312533
51,312882
52,313463
53,313506
54,313846
55,314127
56,314485
57,314497
58,314836
59,315389
60,315559
61,315615
62,315691
63,315744
64,315909
65,315945
66,316174
67,316262
68,316614
69,316925
70,317062
71,317085
72,318062
73,318228
74,318528
75,318642
76,318688
77,322469
78,329614
79,330032
80,330305
81,330467
82,331432
83,331690
84,331855
85,332221
86,332507
87,332541
88,332769
89,333348
90,333454
91,333894
92,334434
93,334443
94,334603
95,334925
96,335151
97,335221
98,335242
99,335286
100,335298
101,335318
102,335364
103,335388
104,335463
105,335600
106,335655
107,336410
108,338619
109,338724
110,338882
111,338913
112,339000
113,339045
114,339083
115,339106
116,339181
117,339183
118,339226
119,339278
120,339375
121,339969
122,339979
123,340056
124,340074
125,340295
126,340356
127,340452
128,340579
129,340736
130,340911
131,340920
132,340937
133,345028
134,345080
135,345109
136,345236
137,345387
138,346229
139,346234
140,346492
141,346544
142,346567
143,346706
144,348256
145,348566
146,348935
147,348970
148,349411
149,349775
150,349812
151,349869
152,350915
153,350930
154,350951
155,351026
156,351102
157,351277
158,351298
159,351299
160,351609
161,351757
162,351773
163,351804
164,351805
165,351828
166,351900
167,351953
168,352031
169,352133
170,352218
171,352322
172,352520
173,353737
174,353797
175,353809
176,353856
177,353982
178,354035
179,354128
180,354143
181,354158
182,354170
183,354426
184,354447
185,354485
186,354492
187,354533
188,354546
189,354761
190,354838
191,354848
192,354871
193,354876
194,355007
195,355170
196,355417
197,355467
198,355711
199,355750
200,355751
201,355781
202,355880
